Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"What is the component of the image?";"images/electric-simbolo-pila.png";"Battery";"Altern current source";"Motor";"Earth";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-generador.png";"Altern current source";"Battery";"Light Bulb";"Electric Motor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-pulsador-na.png";"Pushbutton n.o.";"Switch n.o.";"Two way Switch n.o.";"Battery";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-interruptor.png";"Switch";"Two way Switch";"Pushbutton";"Rele";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-conmutador.png";"Two way Switch";"Switch";"Pushbutton";"Fuse";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-resistencia.png";"Resistor";"Battery";"Light Bulb";"Switch";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-resistencia2.png";"Resistor";"Light Bulb";"Battery";"Switch";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-led.png";"LED Diode";"Light Bulb";"Speaker";"Motor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-lampara.png";"Light Bulb";"LED Diode";"Motor";"X component";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-zumbador.png";"Buzzer";"Speaker";"Motor";"Altern current source";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-altavoz.png";"Speaker";"Buzzer";"Altern current source";"Direct current source";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-motor.png";"Motor";"Buzzer";"Wattmeter";"Light Bulb";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-tierra.png";"Earth";"Battery";"Antenna";"Receiver";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-diodo.png";"Diode";"LED Diode";"Battery";"Transistor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-fusible.png";"Fuse";"Resistor";"Generator";"Relay";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-pulsador-nc.png";"Pushbutton n.c.";"Switch n.c.";"Distributor";"Battery";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-voltimetro.png";"Voltmeter";"Power source";"Battery";"Light Bulb";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-amperimetro.png";"Ammeter";"Current source";"Battery";"Aluminum";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-transformador.png";"Transformer";"Coil";"Double conductor";"Transistor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-masa.png";"Ground plane";"Earth";"Battery";"Brush";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-npn.png";"NPN Transistor";"PNP Transistor";"NPN Transformer";"PNP Transformer";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-pnp.png";"PNP Transistor";"NPN Transistor";"NPN Transformer";"PNP Transformer";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-rele.png";"Relay";"Coil";"Double Switch";"Double Pushbutton";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-inductancia.png";"Coil";"Cable";"Round Pushbutton";"Fingers";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-condensador.png";"Capacitor";"Battery";"Congregator";"Small Battery";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-resistencia-ldr.png";"LDR Resistor";"NTC Resistor";"Resistor";"Variable Resistor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-resistencia-ntc.png";"NTC Resistor";"LDR Resistor";"Resistor";"Variable Resistor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-resistencia-variable.png";"Variable Resistor";"LDR Resistor";"NTC Resistor";"Resistor";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-final-carrera.png";"Limit Switch";"Switch";"Pushbutton";"Pushbutton n.o.";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-cable-cruzado.png";"Crossover wire not connected";"Crossover wire connected";"Connected wire";"Cross";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-cable-conectado.png";"Connected wire";"Unconnected wire";"Connected and unconnected wire";"Mass";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-conector.png";"Connector";"Squared";"Ground plane";"Mass";"electric_en_components"
"What is the component of the image?";"images/electric-simbolo-condensador-pol.png";"Polarized Capacitor";"Battery";"Capacitor";"Small Battery";"electric_en_components"
