Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"How is the following circuit connected?";"images/electric-serie-paralelo-c01.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c02.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c03.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c04.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c05.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c06.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c07.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c08.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c09.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c10.png";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c11.png";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c12.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c13.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
"How is the following circuit connected?";"images/electric-serie-paralelo-c14.png";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"electric_en_series_parallel"
