Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿Cómo están conectadas las resistencias en la breadboard?";"images/brboardSerieParalelo01.png";"1 en paralelo, 2 en serie";"Las dos en serie";"Las dos en paralelo";"1 en serie, 2 en paralelo";"electric_es_breadboard"
"¿Cómo están conectadas las resistencias en la breadboard?";"images/brboardSerieParalelo02.png";"Las dos en serie";"1 en serie, 2 en paralelo";"1 en paralelo, 2 en serie";"Las dos en paralelo";"electric_es_breadboard"
"¿Por qué resistencias pasará corriente?";"images/brboardBenConectadas01.png";"Por 1 y 2";"Por todas";"Por 2 y 3";"Por ninguna";"electric_es_breadboard"
"¿Qué montajes se corresponden con el esquema?";"images/brboardResisCircuito.png";"1";"2";"3";"Ninguno";"electric_es_breadboard"
"¿Cuándo encenderá el led verde?";"images/brBoard2PulsXeralSecundario.png";"Si tengo presionados los dos pulsadores";"Si presiono el pulsador de la derecha";"Si presiono el pulsador de la izquierda";"En ningún caso";"electric_es_breadboard"
"¿Cuál es falsa para el circuito de la figura?";"images/brBoard2PulsXeralSecundario.png";"Puedo encender el led verde sin que encienda el led rojo";"Para encender el led verde tengo que haber presionado el pulsador de la izquierda";"Para encender el led verde tengo que haber presionado el pulsador de la derecha";"El led rojo enciende cuando presiono el pulsador de la derecha";"electric_es_breadboard"
"¿A qué esquema se corresponde el circuito de la breadboard?";"images/brBoard2PulsXeralSecEsquemas.png";"Al rosa";"Al azul";"Al verde";"Al naranja";"electric_es_breadboard"
"Quiero que el led encienda cuando presiono el pulsador. ¿Hay algún fallo?";"images/brbrUnLedPulsadorTricky.png";"Los cables no están en los terminales correctos del pulsador";"El led está puesto del revés";"La resistencia no está conectada al led";"No hay fallos, va a encender";"electric_es_breadboard"
"Quiero que el led encienda solo cuando presiono los dos pulsadores. ¿Hay algún fallo?";"images/brbr2pulsadoresSerieTricky.png";"Ninguno";"El led encenderá cuando presione cualquiera de los interruptores";"El cable verde no conecta los terminales correctos de los interruptores";"La resistencia no está conectada en el terminal correcto del pulsador";"electric_es_breadboard"
"¿Cuál es falsa para el circuito de la figura?";"images/brBr2IntParalelo.png";"El led no encenderá nunca";"El led encenderá cuando presione el interruptor izquierdo";"El led encenderá si presiono el pulsador derecho";"Si tengo presionados los dos interruptores, el led encenderá";"electric_es_breadboard"
"¿Qué ledes se encenderán cuando presione el pulsador?";"images/brBr3Led1intCalAcende.png";"El verde y el rojo";"El azul y el rojo";"El rojo";"El azul y el verde";"electric_es_breadboard"
"¿Cuál es cierta para el circuito de la figura?";"images/brBr2int2LedParalelo.png";"Cada interruptor enciende un led";"No podré encender el led verde si no presiono el interruptor de la derecha";"Si presiono el pulsador de la derecha, encienden los dos leds";"El verde está siempre encendido, aunque no presione ningún pulsador";"electric_es_breadboard"
"¿Qué cable tengo que quitar para que el led encienda desde cualquiera de los dos pulsadores?";"images/2pulsParaleloQuitaCable.png";"El naranja";"El verde";"El azul";"El amarillo";"electric_es_breadboard"
