Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"Si juntamos dos pilas de 1,5V de este modo... ¿Cuál será el voltaje total?";"images/duasPilasSerie.png";"3V";"1,5V";"0,75V";"1V";"electric_es_calcular_serie_paralelo"
"Si juntamos dos resistencias de 4Ω de este modo... ¿Cuál será su resistencia equivalente?";"images/2ResisParalelo.png";"2Ω";"4Ω";"8Ω";"3Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el voltaje total de las pilas?";"images/3PilasSerie.png";"6V";"2V";"2/3V";"8V";"electric_es_calcular_serie_paralelo"
"¿Cuál será el voltaje total de las pilas?";"images/3PilasParalelo.png";"2V";"6V";"2/3V";"8V";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/3ResisSerie223.png";"7Ω";"12Ω";"6/8Ω";"8/6Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/3ResisParalelo666.png";"2Ω";"18Ω";"0,5Ω";"3/6Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/3ResisParalelo422.png";"4/5Ω";"5/4Ω";"3/8Ω";"8/3Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/2ResisParalelo36.png";"2Ω";"0,5Ω";"9Ω";"3Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/3ResisMixto422.png";"5Ω";"8Ω";"4Ω";"6Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/3ResisMixto436.png";"6Ω";"13Ω";"4,5Ω";"3Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál será el valor de la resistencia equivalente?";"images/4ResisMixto4466.png";"5Ω";"20 Ω";"1,2Ω";"5Ω";"electric_es_calcular_serie_paralelo"
"¿Cuál es falsa, para el circuito de la figura?";"images/2resisSerie.png";"Las dos resistencias están sometidas al mismo voltaje";"Si el interruptor cierra, pasará intensidad por las dos resistencias";"Por las dos resistencias pasará siempre la misma intensidad";"Si desconecto la resistencia - b- no pasará corriente por el circuito";"electric_es_calcular_serie_paralelo"
"¿Cuál es falsa, para el circuito de la figura?";"images/2resisParalelo.png";"La intensidad que pasa por las dos resistencias es la misma";"Las dos resistencias están sometidas al mismo voltaje";"Si desconecto la resistencia 'a', seguirá pasando corriente por la - b-";"La intensidad total del circuito será la suma de la intensidad por 'a' y la intensidad por - b-";"electric_es_calcular_serie_paralelo"
"¿Qué será cierto para la intensidad que pasa por la resistencia 'a'?";"images/2resisParalelo.png";"Pasará el doble de intensidad que por la resistencia 'b'";"Pasará la misma intensidad que por la resistencia 'b'";"Pasará la mitad de intensidad que por la resistencia 'b'";"Por ella pasará la mitad de la intensidad total del circuito";"electric_es_calcular_serie_paralelo"
"¿Por qué resistencia pasará más intensidad?";"images/3resisParalelo.png";"Por la 'a'";"Por la 'b'";"Por la 'c'";"Por todas pasará la misma";"electric_es_calcular_serie_paralelo"
"¿Qué pasará en este circuito si conecto la resistencia 'c' ?";"images/3resisParaleloQue.png";"La intensidad total aumentará respecto a cuando había dos";"El voltaje al que están sometidas a las resistencias disminuirá respecto a cuando había dos";"El voltaje al que están sometidas las resistencias aumentará respecto a cuando había dos";"La intensidad total disminuirá respecto a cuando había dos";"electric_es_calcular_serie_paralelo"
"Partimos del circuito negro. ¿Qué pasará cuando conectemos la resistencia en verde?";"images/2ResisParaleloTricky44.png";"La intensidad total del circuito aumentará";"El voltaje al que está sometida 'a' disminuirá";"La intensidad total del circuito disminuirá";"La intensidad total del circuito no variará";"electric_es_calcular_serie_paralelo"
"Partimos del circuito negro. ¿Qué pasará cuando conectemos la resistencia en verde?";"images/2ResisParaleloTricky44.png";"Por 'b' pasará la misma intensidad que por 'a'";"El voltaje de 'a' será la mitad que antes";"La resistencia equivalente en el circuito será de 4Ω";"La intensidad total del circuito no variará";"electric_es_calcular_serie_paralelo"
"Partimos del circuito negro. Si conectamos la parte en verde, ¿cuál será falsa?";"images/2ResisParaleloTricky44.png";"La intensidad total disminuirá";"Por 'b' pasará una intensidad igual a la que pasa por 'a'";"El voltaje de 'b' será el mismo que el de 'a'";"La intensidad que pasa por 'a' no variará";"electric_es_calcular_serie_paralelo"
