Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿Cuál de ellas es falsa en un circuito eléctrico?";"";"Siempre habrá una corriente eléctrica";"Siempre tiene que haber un generador";"Siempre tiene que haber un receptor";"Siempre habrá cables";"electric_es_circuitos"
"¿Cuáles son los tipos de elementos que puedo encontrar en un circuito eléctrico?";"";"Generadores, conductores, receptores y elementos de control";"Generadores, conductores, aparatos eléctricos y elementos de control";"Generadores, cables, interruptores y conmutadores";"Pilas, cables, resistencias y interruptores";"electric_es_circuitos"
"¿Cómo se llaman los elementos de un circuito que impulsan los electrones?";"";"Generadores";"Receptores";"Conductores";"Elementos de control";"electric_es_circuitos"
"¿Cómo se llaman los elementos de un circuito que transforman la electricidad en otro tipo de energía útil?";"";"Receptores";"Generadores";"Transformadores";"Elementos de control";"electric_es_circuitos"
"¿Cómo se llaman los elementos de un circuito por los que circula la corriente entre un componente y otro?";"";"Conductores";"Generadores";"Elementos de control";"Receptores";"electric_es_circuitos"
"¿Cómo se llaman los elementos de un circuito que nos permiten hacer que la corriente circule por donde nosotros queremos?";"";"Elementos de control";"Generadores";"Conductores";"Receptores";"electric_es_circuitos"
"¿Cuál no es un generador?";"";"Motor";"Pila";"Batería";"Toma de red";"electric_es_circuitos"
"¿Cuál consideramos un conductor?";"";"Cable";"Interruptor";"Pulsador";"Aluminio";"electric_es_circuitos"
"¿Cuál no sería un receptor?";"";"Pila";"Motor";"Lámpara";"Resistencia";"electric_es_circuitos"
"¿Cuál no es un elemento de control?";"";"Cable";"Interruptor";"Pulsador";"Conmutador";"electric_es_circuitos"
"¿Cómo están conectadas las resistencias de la figura?";"images/3ResisSerie.png";"Serie";"Línea";"Paralelo";"Mixto";"electric_es_circuitos"
"¿Cómo están conectadas las resistencias de la figura?";"images/3ResisParalelo.png";"Paralelo";"Lateral";"Serie";"Mixto";"electric_es_circuitos"
"¿Cómo están conectadas las resistencias de la figura?";"images/3ResisMixto.png";"Mixto";"Paralelo";"Serie";"Compuesto";"electric_es_circuitos"
"¿Qué diferencias de funcionamiento habrá entre el circuito 1 y 2?";"images/2circSimples.png";"Ninguna";"En el circuito 2, el led enciende aunque no cerremos el interruptor";"Los dos ledes encienden al presionar el interruptor, pero el 2 un instante antes";"Los dos ledes encienden al presionar el interruptor, pero el 1 un instante antes";"electric_es_circuitos"
"¿Cuál es falsa, para el circuito de la figura?";"images/2receptoresSerie.png";"El led 'a' encenderá un instante antes que el 'b'";"La intensidad que circula por los dos ledes es la misma";"Los dos ledes encenderán al presionar el interruptor";"Si el led 'b' se quema, el 'a' no podrá encender";"electric_es_circuitos"
"¿Cuál es falsa, para el circuito de la figura?";"images/2IntSerie.png";"Si cerramos uno u otro interruptor, pasará corriente por la resistencia";"Si cerramos uno y otro interruptor, pasará corriente por la resistencia";"Si cerramos los dos interruptores, pasará corriente por la resistencia";"Solo pasará corriente por la resistencia si cerramos todos los interruptores";"electric_es_circuitos"
"¿Para qué podrías emplear el circuito de la figura?";"images/2IntSerieMotor.png";"Una motosierra que actúa solo cuando presiono dos interruptores";"Un ventilador que se enciende desde dos puntos distintos";"Una alarma que se enciende desde cualquiera de los dos interruptores";"Un taladro que puede ser accionado con un interruptor o con otro";"electric_es_circuitos"
"¿Cuál es falsa, para el circuito de la figura?";"images/2IntParalelo.png";"La corriente pasará solo cuando cerremos los dos interruptores";"Si cerramos uno u otro interruptor, pasará corriente por la resistencia";"Para que pase la corriente, podemos cerrar cualquiera de los dos interruptores";"La corriente pasa siempre que haya por lo menos un interruptor cerrado";"electric_es_circuitos"
"¿Cuál es falsa, para el circuito de la figura?";"images/ledCurtocircuito.png";"El led 'a' encenderá";"El led 'a' está cortocircuitado";"La intensidad no pasará por el led 'a' porque tiene un camino alternativo sin resistencia";"El led 'b' encenderá";"electric_es_circuitos"
