Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-pila.png";"Pila";"Generador de corriente alterna";"Motor";"Toma de tierra";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-generador.png";"Generador de corriente alterna";"Batería o pila";"Lámpara";"Motor eléctrico";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-pulsador-na.png";"Pulsador n.a.";"Interruptor n.a.";"Conmutador n.a.";"Pila";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-interruptor.png";"Interruptor";"Conmutador";"Pulsador";"Botón";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-conmutador.png";"Conmutador";"Interruptor";"Pulsador";"Fusible";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-resistencia.png";"Resistencia";"Pila";"Lámpara";"Interruptor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-resistencia2.png";"Resistencia";"Lámpara";"Pila";"Interruptor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-led.png";"Diodo LED";"Lámpara";"Altavoz";"Motor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-lampara.png";"Lámpara";"Diodo LED";"Motor";"Componente X";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-zumbador.png";"Zumbador";"Altavoz";"Motor";"Generador Alterna";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-altavoz.png";"Altavoz";"Zumbador";"Generador alterna";"Generador de continua";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-motor.png";"Motor";"Zumbador";"Vatímetro";"Lámpara";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-tierra.png";"Tierra";"Pila";"Antena";"Receptor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-diodo.png";"Diodo";"Diodo LED";"Pila";"Transistor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-fusible.png";"Fusible";"Resistencia";"Generador";"Relé";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-pulsador-nc.png";"Pulsador n.c.";"Interruptor n.c.";"Distribuidor";"Pila";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-voltimetro.png";"Voltímetro";"Generador de tensión";"Pila";"Bombilla";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-amperimetro.png";"Amperímetro";"Generador de corriente";"Pila";"Aluminio";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-transformador.png";"Transformador";"Bobina";"Doble conductor";"Transistor";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-masa.png";"Masa";"Tierra";"Pila";"Cepillo";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-npn.png";"Transistor NPN";"Transistor PNP";"Transformador NPN";"Transformador PNP";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-pnp.png";"Transistor PNP";"Transistor NPN";"Transformador NPN";"Transformador PNP";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-rele.png";"Relé";"Bobina";"Interruptor doble";"Pulsador doble";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-inductancia.png";"Bobina";"Cable";"Pulsador redondo";"Nudillos";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-condensador.png";"Condensador";"Pila";"Congregador";"Pila pequeña";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-resistencia-ldr.png";"Resistencia LDR";"Resistencia NTC";"Resistencia";"Resistencia variable";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-resistencia-ntc.png";"Resistencia NTC";"Resistencia LDR";"Resistencia";"Resistencia variable";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-resistencia-variable.png";"Resistencia variable";"Resistencia LDR";"Resistencia NTC";"Resistencia";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-final-carrera.png";"Final de carrera";"Interruptor";"Pulsador";"Pulsador n.a.";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-cable-cruzado.png";"Cable cruzado sin conectar";"Cable cruzado conectado";"Cable conectado";"Cruz";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-cable-conectado.png";"Cables conectados";"Cables sin conectar";"Cables conectados y sin conectar";"Masa";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-conector.png";"Conector";"Cuadradillo";"Tierra";"Masa";"electric_es_componentes"
"¿A qué componente corresponde el símbolo de la figura?";"images/electric-simbolo-condensador-pol.png";"Condensador polarizado";"Pila";"Condensador sin polarizar";"Pila pequeña";"electric_es_componentes"
