Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c01.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c02.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c03.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c04.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c05.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c06.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c07.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c08.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c09.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c10.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c11.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c12.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c13.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c14.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c15.png";"Tiene un cortocircuito en una bombilla";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c16.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c17.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c18.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c19.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c20.png";"Tiene un cortocircuito en una bombilla";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c21.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c22.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c23.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c24.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c25.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c26.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c27.png";"Tiene un cortocircuito en una bombilla";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c28.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c29.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c30.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c31.png";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c32.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c33.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c34.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c35.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c36.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c37.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c38.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c39.png";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
"¿Cómo está conectado el siguiente circuito?";"images/electric-serie-paralelo-c40.png";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"electric_es_serie_paralelo"
