Question;Image;Choice_1;Choice_2;Choice_3;Choice_4;Block
"Cal delas NON corresponde a un circuíto eléctrico?";"";"Se produce sempre que hai unha corrente eléctrica.";"Sempre ten que haber un elemento que forneza enerxía eléctrica.";"Sempre produce calor.";"Sempre haberá algunha transformación de enerxía.";"electric_gal_circuitos"
"Cales son os tipos de elementos que podo atopar nun circuíto eléctrico?";"";"Xeradores, condutores, receptores e elementos de control";"Xeradores, condutores, aparatos eléctricos e elementos de control";"Xeradores, cables, interruptores e conmutadores";"Pilas, cables, resistencias e interruptores";"electric_gal_circuitos"
"Se xuntamos dúas pilas de 1,5V deste xeito... cal será a voltaxe total?";"images/duasPilasSerie.png";"3V";"1,5V";"0,75V";"1,33V";"electric_gal_circuitos"
"Se xuntamos dúas resistencias de 4Ω deste xeito... cal será a súa resistencia equivalente?";"images/2ResisParalelo.png";"2Ω";"4Ω";"8Ω";"3Ω";"electric_gal_circuitos"
"Como se chaman os elementos dun circuíto que fornecen os electróns?";"";"Xeradores";"Receptores";"Condutores";"Elementos de control";"electric_gal_circuitos"
"Como se chaman os elementos dun circuíto que transforman a electricidade noutro tipo de enerxía?";"";"Receptores";"Xeradores";"Transformadores";"Elementos de control";"electric_gal_circuitos"
"Como se chaman os elementos dun circuíto que permiten o paso da corrente entre un compoñente e outro?";"";"Condutores";"Xeradores";"Elementos de control";"Receptores";"electric_gal_circuitos"
"Como se chaman os elementos dun circuíto que nos permiten facer que a corrente circule por onde nós queremos?";"";"Elementos de control";"Xeradores";"Condutores";"Receptores";"electric_gal_circuitos"
"Cal non é un xerador?";"";"Motor";"Pila";"Batería";"Toma de rede";"electric_gal_circuitos"
"Cal consideramos un condutor?";"";"Cable";"Interruptor";"Pulsador";"Aluminio";"electric_gal_circuitos"
"Cal non sería un receptor?";"";"Pila";"Motor";"Lámpada";"Resistencia";"electric_gal_circuitos"
"Cal non é un elemento de control?";"";"Cable";"Interruptor";"Pulsador";"Conmutador";"electric_gal_circuitos"
"A que compoñente se corresponde o símbolo da figura?";"images/pilaSimbolo.png";"Batería ou pila";"Xerador de corrente alterna";"Motor";"Toma de terra";"electric_gal_circuitos"
